"SrcScheme","SrcField","SrcValue","SrcValueName","TgtSchemeVersion","TgtScheme","TgtField","TgtValue","TgtValueName"
"ATC","BldgClass","1","Wood Frame","2.3.1","OED","ConstructionCode","5050","Wood, Wood frame"
"ATC","BldgClass","10","Moment Steel Frame (Perimeter)","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","11","Moment Steel Frame (Distributed)","2.3.1","OED","ConstructionCode","5203","Steel, Steel mrf perimeter"
"ATC","BldgClass","12","Ductile Rc Frame (Distributed)","2.3.1","OED","ConstructionCode","5153","Concrete, Reinforced concrete mrf ductile"
"ATC","BldgClass","13","Non-Ductile Rc Frame (Distributed)","2.3.1","OED","ConstructionCode","5154","Concrete, Reinforced concrete mrf non-ductile"
"ATC","BldgClass","14","Precast Concrete (Non Tilt-Up)","2.3.1","OED","ConstructionCode","5156","Concrete, Pre-cast concrete"
"ATC","BldgClass","15","Long Span","2.3.1","OED","ConstructionCode","5301","Special, Long-span"
"ATC","BldgClass","16","Tilt-Up","2.3.1","OED","ConstructionCode","5155","Concrete, Tilt-up"
"ATC","BldgClass","17","Mobile Home","2.3.1","OED","ConstructionCode","5350","Mobile Homes, Mobile Homes"
"ATC","BldgClass","18","Specially Engineered Facility","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","19","Conventional Bridges (< 500 Ft. Spans) W/ Multiple Simple Spans","2.3.1","OED","ConstructionCode","5401","Bridges, Conventional multiple span bridges"
"ATC","BldgClass","2","Light Metal","2.3.1","OED","ConstructionCode","5201","Steel, Light metal"
"ATC","BldgClass","20","Conventional Bridges (< 500 Ft. Spans) W/ Monolithic Spans","2.3.1","OED","ConstructionCode","5402","Bridges, Conventional continuous bridges"
"ATC","BldgClass","21","Major Bridges (> 500 Ft. Spans)","2.3.1","OED","ConstructionCode","5403","Bridges, Major bridges"
"ATC","BldgClass","22","Pipelines","2.3.1","OED","ConstructionCode","5651","Pipelines, General Underground Pipelines"
"ATC","BldgClass","23","Pipelines At Grade","2.3.1","OED","ConstructionCode","5657","Pipelines, General At Grade Pipelines"
"ATC","BldgClass","24","Concrete Dams","2.3.1","OED","ConstructionCode","5501","Dams, Concrete dams"
"ATC","BldgClass","25","Earthfill And Rockfill Dams","2.3.1","OED","ConstructionCode","5502","Dams, Earthfill dams"
"ATC","BldgClass","26","Alluvium Tunnels","2.3.1","OED","ConstructionCode","5551","Tunnels, Alluvium tunnels"
"ATC","BldgClass","27","Rock Tunnels","2.3.1","OED","ConstructionCode","5552","Tunnels, Rock tunnels"
"ATC","BldgClass","28","Cut & Cover Tunnels","2.3.1","OED","ConstructionCode","5553","Tunnels, Cut and cover tunnels"
"ATC","BldgClass","29","Non-Elevated Tanks","2.3.1","OED","ConstructionCode","5601","Tanks, Underground Liquid Tanks"
"ATC","BldgClass","3","Unreinforced Masonry Wall","2.3.1","OED","ConstructionCode","5103","Masonry, Unreinforced masonry bearing wall"
"ATC","BldgClass","30","Underground Solid Storage Tanks","2.3.1","OED","ConstructionCode","5602","Tanks, Underground Solid Tanks"
"ATC","BldgClass","31","On Ground Liquid Storage Tanks","2.3.1","OED","ConstructionCode","5603","Tanks, On Ground Liquid Tanks"
"ATC","BldgClass","32","On Ground Solid Storage Tanks","2.3.1","OED","ConstructionCode","5606","Tanks, On Ground Solid Tanks"
"ATC","BldgClass","33","Elevated Liquid Storage Tanks","2.3.1","OED","ConstructionCode","5609","Tanks, Elevated Liquid Tanks"
"ATC","BldgClass","34","Elevated Solid Storage Tanks","2.3.1","OED","ConstructionCode","5612","Tanks, Elevated Solid Tanks"
"ATC","BldgClass","35","Railroads (Track & Bed)","2.3.1","OED","ConstructionCode","5451","Pavements, Railroads"
"ATC","BldgClass","36","Highways","2.3.1","OED","ConstructionCode","5452","Pavements, Highways"
"ATC","BldgClass","37","Runways","2.3.1","OED","ConstructionCode","5453","Pavements, Runways"
"ATC","BldgClass","38","High Industrial Masonry Chimneys","2.3.1","OED","ConstructionCode","5701","Chimneys, Masonry chimneys"
"ATC","BldgClass","39","High Industrial Concrete Chimneys","2.3.1","OED","ConstructionCode","5702","Chimneys, Concrete chimneys"
"ATC","BldgClass","4","Urm Wall With Frame","2.3.1","OED","ConstructionCode","5104","Masonry, Unreinforced masonry bearing frame"
"ATC","BldgClass","40","High Industrial Steel Chimneys","2.3.1","OED","ConstructionCode","5703","Chimneys, Steel chimneys"
"ATC","BldgClass","41","Cranes","2.3.1","OED","ConstructionCode","5954","Miscellaneous, Cranes"
"ATC","BldgClass","42","Conveyor Systems","2.3.1","OED","ConstructionCode","5955","Miscellaneous, Conveyor systems"
"ATC","BldgClass","43","Conventional (< 100 Ft.) Electrical Transmission Line Towers","2.3.1","OED","ConstructionCode","5751","Towers, Electrical transmission conventional"
"ATC","BldgClass","44","Major (> 100 Ft.) Electrical Transmission Line Towers","2.3.1","OED","ConstructionCode","5752","Towers, Electrical transmission major"
"ATC","BldgClass","45","Broadcast Towers","2.3.1","OED","ConstructionCode","5753","Towers, Broadcast towers"
"ATC","BldgClass","46","Observation Towers","2.3.1","OED","ConstructionCode","5754","Towers, Observation towers"
"ATC","BldgClass","47","Offshore Towers","2.3.1","OED","ConstructionCode","5755","Towers, Offshore towers"
"ATC","BldgClass","48","Canals","2.3.1","OED","ConstructionCode","5956","Miscellaneous, Canals"
"ATC","BldgClass","49","Earth Retaining Structures (> 20 Ft. High)","2.3.1","OED","ConstructionCode","5957","Miscellaneous, Earth retaining structures"
"ATC","BldgClass","5","Rc Shear Wall With Frame","2.3.1","OED","ConstructionCode","5151","Concrete, Reinforced concrete shear wall w/ mrf"
"ATC","BldgClass","50","Waterfront Structures","2.3.1","OED","ConstructionCode","5958","Miscellaneous, Waterfront structures"
"ATC","BldgClass","51","Residential Equipment","2.3.1","OED","ConstructionCode","5801","Equipment, Residential equipment"
"ATC","BldgClass","52","Office Equipment","2.3.1","OED","ConstructionCode","5802","Equipment, Office equipment"
"ATC","BldgClass","53","Electrical Equipment","2.3.1","OED","ConstructionCode","5803","Equipment, Electrical equipment"
"ATC","BldgClass","54","Mechanical Equipment","2.3.1","OED","ConstructionCode","5804","Equipment, Mechanical equipment"
"ATC","BldgClass","55","High Technology/Lab Equipment","2.3.1","OED","ConstructionCode","5805","Equipment, High-technology equipment"
"ATC","BldgClass","56","Trains Trucks Airplanes","2.3.1","OED","ConstructionCode","5806","Equipment, Trains, trucks, airplanes etc."
"ATC","BldgClass","57","Petrochemical Facilities","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","57A","Oil Refineries & Petrochemical Plants","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","57B","Tank Farms","2.3.1","OED","ConstructionCode","5603","Tanks, On Ground Liquid Tanks"
"ATC","BldgClass","57C","Pumping Stations","2.3.1","OED","ConstructionCode","5952","Miscellaneous, Pumping Station"
"ATC","BldgClass","57D","Pipelines","2.3.1","OED","ConstructionCode","5651","Pipelines, General Underground Pipelines"
"ATC","BldgClass","58","Electric Power Systems","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","58A","Transmission/Distribution Substations","2.3.1","OED","ConstructionCode","5000","Unknown"
"ATC","BldgClass","58B","Transmission/Distribution Lines","2.3.1","OED","ConstructionCode","5000","Unknown"
