File Name,Input Field Name,Type & Description,Property field status,Data Type,Default,Valid value range,Cyber field status,Liability field status,Marine Cargo field status,version_number
Acc; Loc,PortNumber,Portfolio number,R,,,,n/a,n/a,n/a,1.1.2
Acc,PortName,Portfolio name,O,,,,n/a,n/a,n/a,1.1.2
Acc,PortNotes,"Portfolio notes, longer description than allowed in portfolio name",O,,,,n/a,n/a,n/a,1.1.2
Acc; Loc,AccNumber,Account number,R,,,,n/a,n/a,n/a,1.1.2
Acc,AccName,Account name,O,,,,n/a,n/a,n/a,1.1.2
Acc,AccGroup,"Account group, could use to group multiple accounts (e.g. for binders)",O,,,,n/a,n/a,n/a,1.1.2
Acc,AccStatus,"Account status. Aside from predefined values, you can use other single character values for user specific purposes",O,,,,n/a,n/a,n/a,1.1.2
Acc,ExpiringAccNumber,Expiring account number,O,,,,n/a,n/a,n/a,1.1.2
Acc,CedantName,Cedant name (defined at account level),O,,,,n/a,n/a,n/a,1.1.2
Acc,AccCurrency,Account currency,R,,,,n/a,n/a,n/a,1.1.2
Acc,AccUserDef1,Account user defined field 1,O,,,,n/a,n/a,n/a,1.1.2
Acc,AccUserDef2,Account user defined field 2,O,,,,n/a,n/a,n/a,1.1.2
Acc,AccUserDef3,Account user defined field 3,O,,,,n/a,n/a,n/a,1.1.2
Acc,AccUserDef4,Account user defined field 4,O,,,,n/a,n/a,n/a,1.1.2
Acc,AccUserDef5,Account user defined field 5,O,,,,n/a,n/a,n/a,1.1.2
Acc,FlexiAccZZZ,Flexible field that is stored in FlexiAcc table in ModifierName = ZZZ,O,,,,n/a,n/a,n/a,1.1.2
Acc,AccPeril,Perils for account financial terms,CR,,,,n/a,n/a,n/a,1.1.2
Acc,AccDedCode1Building,Account building deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDedType1Building,Account building deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDed1Building,Account building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMinDed1Building,Account minimum building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMaxDed1Building,Account maximum building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccDedCode2Other,Account other building deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDedType2Other,Account other building deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDed2Other,Account other building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMinDed2Other,Account minimum other building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMaxDed2Other,Account maximum other building deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccDedCode3Contents,Account contents deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDedType3Contents,Account contents deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDed3Contents,Account contents deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMinDed3Contents,Account minimum contents deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMaxDed3Contents,Account maximum contents deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccDedCode4BI,Account BI deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDedType4BI,Account BI deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDed4BI,Account BI deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMinDed4BI,Account minimum BI deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMaxDed4BI,Account maximum BI deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccDedCode5PD,Account PD deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDedType5PD,Account PD deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDed5PD,Account PD deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMinDed5PD,Account minimum PD deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMaxDed5PD,Account maximum PD deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccDedCode6All,Account blanket deductible code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDedType6All,Account blanket deductible type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccDed6All,Account blanket deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMinDed6All,Account minimum blanket deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccMaxDed6All,Account maximum blanket deductible,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccLimitCode1Building,Account building limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimitType1Building,Account building limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimit1Building,Account building limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
Acc,AccLimitCode2Other,Account other building limit code,O,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimitType2Other,Account other building limit type,CR,,0,,n/a,n/a,n/a,1.1.2
Acc,AccLimit2Other,Account other building limit,CR,,0,"[0,)",n/a,n/a,n/a,1.1.2
