"Category","Code","CodeDescription","Notes"
"Anchorage","0","Unknown",""
"Anchorage","1","Anchored",""
"Anchorage","2","Unanchored",""
"Anchorage","3","Ballasted",""
"AddressMatch","0","Ungeocoded",""
"AddressMatch","1","User Coordinate",""
"AddressMatch","10","CRESTA (low res)",""
"AddressMatch","2","Exact Address - Building",""
"AddressMatch","20","Country",""
"AddressMatch","3","Parcel",""
"AddressMatch","4","Interpolated Street",""
"AddressMatch","5","High Resolution Postcode",""
"AddressMatch","6","Block Group / Streetname",""
"AddressMatch","7","Postal Code",""
"AddressMatch","8","City Centroid",""
"AddressMatch","9","Area",""
"AppurtenantStructure","0","Unknown / Default",""
"AppurtenantStructure","1","Detached garage",""
"AppurtenantStructure","10","Pole mount Solar Panels",""
"AppurtenantStructure","11","Car Port",""
"AppurtenantStructure","12","Car Port with Storage",""
"AppurtenantStructure","2","Pool enclosures",""
"AppurtenantStructure","3","Shed",""
"AppurtenantStructure","4","Masonry boundary wall",""
"AppurtenantStructure","5","Other fences",""
"AppurtenantStructure","6","No appurtenant structures",""
"AppurtenantStructure","7","No pool enclosures",""
"AppurtenantStructure","8","Detached screen enclosure / Lanai",""
"AppurtenantStructure","9","Standard ground mount Solar Panels",""
"AttachmentBasis","LO","Losses Occurring During",""
"AttachmentBasis","RA","Risk Attaching",""
"BackUpFreq","0","Cadence of back-up of the main servers  is Unknown","Main server back-up frequency (technographic data for cyber exposures)"
"BackUpFreq","1","Cadence of back-up of the main servers  is Never","Main server back-up frequency (technographic data for cyber exposures)"
"BackUpFreq","2","Cadence of back-up of the main servers  is Daily","Main server back-up frequency (technographic data for cyber exposures)"
"BackUpFreq","3","Cadence of back-up of the main servers  is Weekly","Main server back-up frequency (technographic data for cyber exposures)"
"BackUpFreq","4","Cadence of back-up of the main servers  is Monthly","Main server back-up frequency (technographic data for cyber exposures)"
"BackUpFreq","5","Cadence of back-up of the main servers  is Annually","Main server back-up frequency (technographic data for cyber exposures)"
"BackUpFreq","6","Cadence of back-up of the main servers  is Ad-hoc","Main server back-up frequency (technographic data for cyber exposures)"
"Basement","0","Unknown / default",""
"Basement","1","Unfinished basement",""
"Basement","2","Finished basement (100%)",""
