Table,Column Name,Data Type,Max Length,Precision,Scale,Nullable?,Default value,Comment
AccountFinancials,AccFinID,bigint,8,19,0,NO,n/a,
AccountFinancials,AccID,bigint,8,19,0,NO,n/a,
AccountFinancials,PerilCode,int,4,10,0,NO,n/a,
AccountFinancials,DedCode,tinyint,1,3,0,NO,((0)),
AccountFinancials,DedCov,tinyint,1,3,0,NO,((0)),
AccountFinancials,DedType,tinyint,1,3,0,NO,((0)),
AccountFinancials,Ded,float,8,53,0,NO,((0)),
AccountFinancials,MinDed,float,8,53,0,NO,((0)),
AccountFinancials,MaxDed,float,8,53,0,NO,((0)),
AccountFinancials,LimitCode,tinyint,1,3,0,NO,((0)),
AccountFinancials,LimitCov,tinyint,1,3,0,NO,((0)),
AccountFinancials,LimitType,tinyint,1,3,0,NO,((0)),
AccountFinancials,Limit,float,8,53,0,NO,((0)),
Accounts,AccID,bigint,8,19,0,NO,n/a,
Accounts,AccNumber,nvarchar,40,0,0,NO,n/a,
Accounts,AccName,nvarchar,100,0,0,NO,n/a,
Accounts,AccGroup,varchar,40,0,0,YES,n/a,
Accounts,AccStatus,char,1,0,0,NO,n/a,
Accounts,ExpiringAccNumber,nvarchar,40,0,0,YES,n/a,
Accounts,CedantID,bigint,8,19,0,YES,n/a,
Accounts,Currency,varchar,3,0,0,NO,n/a,
Accounts,AccUserDef1,varchar,20,0,0,YES,n/a,
Accounts,AccUserDef2,varchar,20,0,0,YES,n/a,
Accounts,AccUserDef3,varchar,20,0,0,YES,n/a,
Accounts,AccUserDef4,varchar,20,0,0,YES,n/a,
Accounts,AccUserDef5,varchar,20,0,0,YES,n/a,
Cedants,CedantID,bigint,8,19,0,NO,n/a,
Cedants,CedantName,varchar,40,0,0,NO,n/a,
ConditionFinancials,CondFinID,bigint,8,19,0,NO,n/a,
ConditionFinancials,CondID,bigint,8,19,0,NO,n/a,
ConditionFinancials,PerilCode,int,4,10,0,NO,n/a,
ConditionFinancials,DedCode,tinyint,1,3,0,NO,((0)),
ConditionFinancials,DedCov,tinyint,1,3,0,NO,((0)),
ConditionFinancials,DedType,tinyint,1,3,0,NO,((0)),
ConditionFinancials,Ded,float,8,53,0,NO,((0)),
