File Name,Input Field Name,Type & Description,Required Field,Data Type,Allow blanks?,Default,Valid value range,SecMod?,BackEndTableName,Back End DB Field Name
Acc; Loc,PortNumber,Portfolio number,R,varchar(20),NO,n/a,,,Portfolios,
Acc,PortName,Portfolio name,O,varchar(40),YES,n/a,,,Portfolios,
Acc,PortNotes,"Portfolio notes, longer description than allowed in portfolio name",O,varchar(200),YES,n/a,,,Portfolios,
Acc; Loc,AccNumber,Account number,R,nvarchar(40),NO,n/a,,,Accounts,
Acc,AccName,Account name,O,nvarchar(100),YES,n/a,,,Accounts,
Acc,AccGroup,"Account group, could use to group multiple accounts (e.g. for binders)",O,varchar(40),YES,n/a,,,Accounts,
Acc,AccStatus,"Account status. Aside from predefined values, you can use other single character values for user specific purposes",O,char(1),YES,n/a,,,Accounts,
Acc,ExpiringAccNumber,Expiring account number,O,nvarchar(40),YES,n/a,,,Accounts,
Acc,CedantName,Cedant name (defined at account level),O,varchar(40),YES,n/a,,,Cedants,
Acc,AccCurrency,Account currency,R,char(3),NO,n/a,,,Accounts; Policies; Conditions,Accounts.Currency; Policies.Currency; Conditions.Currency
Acc,AccUserDef1,Account user defined field 1,O,varchar(20),YES,n/a,,,Accounts,
Acc,AccUserDef2,Account user defined field 2,O,varchar(20),YES,n/a,,,Accounts,
Acc,AccUserDef3,Account user defined field 3,O,varchar(20),YES,n/a,,,Accounts,
Acc,AccUserDef4,Account user defined field 4,O,varchar(20),YES,n/a,,,Accounts,
Acc,AccUserDef5,Account user defined field 5,O,varchar(20),YES,n/a,,,Accounts,
Acc,FlexiAccZZZ,Flexible field that is stored in FlexiAcc table in ModifierName = ZZZ,O,varchar(40),YES,n/a,,,FlexiAcc,ModifierName = ZZZ
Acc,AccPeril,Perils for account financial terms,CR,varchar(250),YES,n/a,,,AccountFinancials,PerilCode
Acc,AccDedCode1Building,Account building deductible code,O,tinyint,YES,0,,,AccountFinancials,DedCode
Acc,AccDedType1Building,Account building deductible type,CR,tinyint,YES,0,,,AccountFinancials,DedType
Acc,AccDed1Building,Account building deductible,CR,float,YES,0,"[0,)",,AccountFinancials,Ded
Acc,AccMinDed1Building,Account minimum building deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MinDed
Acc,AccMaxDed1Building,Account maximum building deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MaxDed
Acc,AccDedCode2Other,Account other building deductible code,O,tinyint,YES,0,,,AccountFinancials,DedCode
Acc,AccDedType2Other,Account other building deductible type,CR,tinyint,YES,0,,,AccountFinancials,DedType
Acc,AccDed2Other,Account other building deductible,CR,float,YES,0,"[0,)",,AccountFinancials,Ded
Acc,AccMinDed2Other,Account minimum other building deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MinDed
Acc,AccMaxDed2Other,Account maximum other building deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MaxDed
Acc,AccDedCode3Contents,Account contents deductible code,O,tinyint,YES,0,,,AccountFinancials,DedCode
Acc,AccDedType3Contents,Account contents deductible type,CR,tinyint,YES,0,,,AccountFinancials,DedType
Acc,AccDed3Contents,Account contents deductible,CR,float,YES,0,"[0,)",,AccountFinancials,Ded
Acc,AccMinDed3Contents,Account minimum contents deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MinDed
Acc,AccMaxDed3Contents,Account maximum contents deductible,CR,float,YES,0,"[0,)",,AccountFinancials,MaxDed
Acc,AccDedCode4BI,Account BI deductible code,O,tinyint,YES,0,,,AccountFinancials,DedCode
